item_id,order_id,product_id,quantity
1,1,21,154
2,1,42,141
3,2,8,188
4,2,18,96
5,2,31,51
6,3,2,61
7,4,48,21
8,5,12,81
9,5,18,84
10,5,30,181
11,6,20,94
12,7,7,105
13,7,34,163
14,8,36,40
15,8,25,128
16,8,3,59
17,9,43,172
18,9,33,75
19,9,46,168
20,9,5,187
21,10,21,181
22,11,33,182
23,11,28,52
24,11,2,16
25,12,50,117
26,12,7,103
27,12,42,98
28,12,30,43
29,13,13,33
30,13,42,84
31,14,16,140
32,15,20,13
33,16,42,82
34,16,42,155
35,17,35,41
36,17,2,83
37,17,46,93
38,17,14,69
39,18,13,129
40,18,48,29
41,18,7,32
42,18,25,85
43,19,38,149
44,19,7,31
45,20,36,191
46,20,47,177
47,20,23,105
48,21,8,118
49,21,31,139
50,21,25,88
51,22,14,128
52,23,49,41
53,23,38,18
54,24,15,106
55,24,40,42
56,24,14,63
57,24,36,173
58,25,17,85
59,25,30,99
60,25,16,166
61,26,8,90
62,26,31,58
63,27,46,82
64,28,45,55
65,28,1,37
66,28,29,158
67,28,16,165
68,29,12,74
69,29,13,106
70,29,16,118
71,29,10,121
72,30,22,196
73,31,6,130
74,31,6,159
75,31,47,109
76,31,50,18
77,32,38,37
78,33,11,28
79,33,25,160
80,33,13,197
81,33,18,58
82,34,31,55
83,34,36,132
84,35,9,19
85,35,36,110
86,35,16,103
87,35,7,37
88,36,12,19
89,36,26,21
90,36,48,158
91,36,8,196
92,37,19,131
93,38,35,194
94,38,25,190
95,39,29,72
96,40,32,119
97,40,12,145
98,40,24,15
99,41,4,73
100,41,18,145
101,42,47,194
102,43,21,33
103,43,10,134
104,43,21,55
105,44,12,11
106,44,4,61
107,45,40,40
108,45,11,76
109,45,4,18
110,45,17,62
111,46,41,53
112,46,10,177
113,46,37,20
114,47,20,99
115,47,1,171
116,47,50,124
117,47,20,188
118,48,22,174
119,48,14,127
120,48,3,20
121,48,3,124
122,49,46,155
123,49,31,158
124,49,23,80
125,50,9,187
126,51,50,102
127,51,5,31
128,51,8,48
129,52,32,23
130,53,23,132
131,54,38,45
132,54,36,57
133,55,34,175
134,56,26,125
135,56,16,142
136,57,23,95
137,58,41,135
138,59,16,40
139,59,42,25
140,60,30,12
141,60,28,66
142,61,7,125
143,61,14,59
144,61,24,172
145,62,17,17
146,63,17,44
147,64,23,133
148,64,34,50
149,64,20,85
150,64,27,71
151,65,13,102
152,65,7,50
153,65,34,101
154,65,41,135
155,66,41,174
156,66,21,47
157,66,36,140
158,66,46,79
159,67,9,123
160,67,30,171
161,67,46,200
162,68,1,172
163,68,17,190
164,69,9,13
165,69,32,155
166,70,5,164
167,70,10,54
168,71,17,181
169,71,34,135
170,71,49,59
171,71,4,95
172,72,38,78
173,72,27,111
174,73,28,134
175,73,20,73
176,74,49,35
